genre,gross,rate,runtime,title,vote,yr
"Action, Fantasy",$210.61M,7.7,117 min,300,672881,2006
"Action, Adventure, Crime",$209.03M,7.6,128 min,Sherlock Holmes,533134,2009
"Crime, Drama, Fantasy",$136.80M,8.5,189 min,The Green Mile,956347,1999
"Biography, Drama",$170.74M,8.2,135 min,A Beautiful Mind,737126,2001
"Drama, Romance",$144.84M,7.3,143 min,The Great Gatsby,417002,2013
"Adventure, Sci-Fi",$56.95M,8.3,149 min,2001: A Space Odyssey,516482,1968
"Action, Adventure, Fantasy",$936.66M,8.0,136 min,Star Wars: The Force Awakens,754885,2015
"Action, Adventure, Fantasy",$291.05M,7.1,143 min,Man of Steel,624009,2013
"Crime, Drama, History",$45.06M,8.1,128 min,Spotlight,338224,2015
Drama,$0.79M,7.0,117 min,Nymphomaniac: Vol. I,101319,2013
"Crime, Drama, Thriller",$67.44M,8.2,170 min,Heat,504331,1995
"Action, Adventure",$206.85M,8.3,140 min,Batman Begins,1145834,2005
"Action, Adventure, Drama",$218.08M,7.2,187 min,King Kong,355633,2005
Comedy,$75.59M,7.1,88 min,Old School,199681,2003
"Action, Adventure, Sci-Fi",$146.41M,7.7,131 min,X: First Class,587836,2011
Drama,$112.00M,8.7,133 min,One Flew Over the Cuckoo's Nest,795179,1975
"Action, Biography, Comedy",$51.34M,7.2,115 min,American Made,116089,2017
"Action, Drama, History",$52.85M,7.3,144 min,13 Hours,97040,2016
"Adventure, Comedy, Drama",$59.10M,8.1,99 min,The Grand Budapest Hotel,602632,2014
"Adventure, Drama, Sci-Fi",$228.43M,8.0,144 min,The Martian,637523,2015
"Animation, Family, Fantasy",$75.08M,8.0,76 min,The Nightmare Before Christmas,256932,1993
Comedy,$102.56M,7.0,95 min,American Pie,343996,1999
"Comedy, Drama, Romance",$58.40M,7.1,92 min,Easy A,318322,2010
"Comedy, Drama, Romance",$84.35M,7.4,118 min,Crazy Stupid Love,424292,2011
"Comedy, Crime, Drama",$27.78M,7.0,118 min,Logan Lucky,94197,2017
"Action, Adventure, Sci-Fi",$262.03M,7.0,136 min,The Amazing Spider-Man,508087,2012
"Drama, Romance",$38.41M,7.8,129 min,Pride &amp; Prejudice,221961,2005
"Drama, Romance",$138.43M,8.3,126 min,Good Will Hunting,731416,1997
"Crime, Drama",$57.30M,9.0,202 min,The Godfather: Part II,949030,1974
"Crime, Drama, Romance",$12.28M,7.9,119 min,True Romance,182779,1993
Drama,$26.40M,7.9,155 min,Boogie Nights,213619,1997
"Action, Adventure, Sci-Fi",$373.59M,7.3,127 min,Spider-Man 2,479255,2004
"Action, Crime, Thriller",$43.22M,7.2,122 min,Point Break,132241,1991
"Action, Adventure, Sci-Fi",$259.77M,7.8,136 min,Captain America: The Winter Soldier,617354,2014
"Animation, Adventure, Comedy",$341.27M,8.0,108 min,Zootopia,356198,2016
"Adventure, Comedy, Drama",$32.53M,7.9,122 min,Almost Famous,229167,2000
"Adventure, Family, Fantasy",$295.98M,7.7,146 min,Harry Potter and the Deathly Hallows: Part 1,399367,2010
"Action, Adventure",$251.19M,7.6,126 min,Batman,302829,1989
"Action, Adventure, Fantasy",$305.41M,8.0,143 min,Pirates of the Caribbean: The Curse of the Black Pearl,933804,2003
Comedy,$70.14M,7.8,103 min,Ferris Bueller's Day Off,279170,1986
"Biography, Drama, Thriller",$91.13M,8.0,114 min,The Imitation Game,588729,2014
"Crime, Drama, Mystery",$0.75M,7.4,97 min,Irreversible,101385,2002
"Adventure, Biography, Drama",$18.35M,8.1,148 min,Into the Wild,506279,2007
"Crime, Drama",$5.32M,8.4,229 min,Once Upon a Time in America,264075,1984
Drama,$169.71M,8.1,146 min,The Help,377923,2011
"Action, Adventure, Sci-Fi",$319.07M,7.1,144 min,Transformers,557135,2007
"Action, Crime, Thriller",$70.10M,8.1,111 min,Kill Bill: Vol. 1,865859,2003
"Action, Adventure, Thriller",$304.36M,7.8,143 min,Skyfall,577139,2012
"Action, Comedy, Thriller",$146.28M,7.2,141 min,True Lies,212861,1994
"Comedy, Horror",$42.07M,7.0,95 min,The Cabin in the Woods,323675,2012
"Action, Adventure, Fantasy",$206.36M,7.0,112 min,Thor: The Dark World,503201,2013
"Comedy, Drama, Sci-Fi",$125.62M,8.1,103 min,The Truman Show,799565,1998
"Biography, Drama, Music",$119.52M,7.9,136 min,Walk the Line,206458,2005
"Crime, Drama, Thriller",$24.61M,8.1,98 min,Fargo,539180,1996
"Action, Comedy, Crime",$138.45M,7.2,109 min,21 Jump Street,462932,2012
"Comedy, Drama",$27.09M,7.2,90 min,Fast Times at Ridgemont High,82130,1982
"Crime, Drama",None,8.9,96 min,12 Angry Men,560103,1957
