genre,gross,rate,runtime,title,vote,yr
"Action, Horror, Thriller",$59.02M,7.3,101 min,Dawn of the Dead,214904,2004
"Drama, History, Thriller",$72.31M,7.6,142 min,Bridge of Spies,250430,2015
"Action, Crime, Thriller",$106.13M,7.0,111 min,The Italian Job,314172,2003
"Horror, Mystery, Thriller",$96.52M,7.6,104 min,The Others,304375,2001
"Crime, Drama, Thriller",$39.67M,7.5,154 min,Jackie Brown,271411,1997
"Action, Comedy, Crime",$90.38M,7.1,111 min,RED,264776,2010
"Comedy, Drama, Thriller",$3.11M,8.1,122 min,Relatos salvajes,140183,2014
"Drama, Horror",$0.51M,7.0,99 min,Grave,43962,2016
"Comedy, Romance",$25.00M,8.3,121 min,Some Like It Hot,210259,1959
"Action, Horror",$70.09M,7.1,120 min,Blade,217798,1998
"Mystery, Sci-Fi, Thriller",$0.07M,7.2,89 min,Coherence,82920,2013
"Adventure, Drama, Fantasy",$124.99M,7.9,127 min,Life of Pi,512926,2012
"Comedy, Drama, Romance",$104.95M,8.0,106 min,The Graduate,231722,1967
"Action, Biography, Crime",$0.10M,7.1,92 min,Bronson,105276,2008
"Biography, Drama, Sport",$93.62M,7.8,116 min,The Fighter,307229,2010
"Action, Crime, Sci-Fi",$64.04M,7.1,126 min,Deja Vu,268435,2006
"Comedy, Sport",$39.85M,7.3,98 min,Caddyshack,93099,1980
"Biography, Drama",$28.87M,7.4,127 min,"Girl, Interrupted",142599,1999
"Adventure, Comedy, Drama",$5.20M,7.9,101 min,Hunt for the Wilderpeople,79515,2016
"Action, Adventure, Fantasy",$309.42M,7.1,169 min,Pirates of the Caribbean: At World's End,538723,2007
"Action, Adventure, Thriller",$24.80M,7.5,115 min,From Russia with Love,101833,1963
"Drama, Romance",$53.70M,7.1,126 min,P.S. I Love You,187596,2007
"Action, Drama, Thriller",$39.39M,7.1,128 min,Body of Lies,194092,2008
Drama,$63.90M,8.0,156 min,Scent of a Woman,223158,1992
Drama,$25.38M,7.9,165 min,Boyhood,307515,2014
"Adventure, Comedy, Drama",$4.21M,7.0,97 min,Swiss Army Man,84166,2016
"Animation, Adventure, Comedy",$245.85M,7.9,92 min,Toy Story 2,446791,1999
Drama,$172.83M,8.0,133 min,Rain Man,428508,1988
"Drama, Romance",$4.86M,7.2,97 min,The Virgin Suicides,130776,1999
"Action, Crime, Sci-Fi",$13.41M,7.1,95 min,Dredd,228454,2012
"Action, Crime, Thriller",$209.84M,7.3,130 min,Fast Five,320247,2011
"Adventure, Drama, Western",$184.21M,8.0,181 min,Dances with Wolves,212643,1990
"Drama, Family, Fantasy",$64.43M,7.5,107 min,Field of Dreams,96709,1989
"Action, Adventure",$47.21M,7.7,93 min,First Blood,194823,1982
"Action, Thriller",$4.11M,7.6,101 min,The Raid: Redemption,169076,2011
"Action, Comedy, Horror",$0.22M,7.6,89 min,Tucker and Dale vs Evil,148697,2010
"Action, Mystery, Thriller",$227.47M,8.0,115 min,The Bourne Ultimatum,568128,2007
"Comedy, Romance",$176.48M,7.1,119 min,There's Something About Mary,268460,1998
"Action, Crime, Drama",$41.00M,7.6,109 min,End of Watch,205727,2012
"Animation, Adventure, Family",$171.09M,7.2,88 min,Tarzan,172543,1999
"Action, Adventure, Fantasy",$5.90M,7.2,116 min,Highlander,109654,1986
"Adventure, Crime, Drama",$2.53M,7.6,96 min,Sin Nombre,28799,2009
"Action, Horror, Thriller",$25.03M,7.6,191 min,Grindhouse,166645,2007
Drama,$1.36M,7.1,85 min,Locke,114489,2013
"Action, Comedy, Crime",$234.76M,7.3,105 min,Beverly Hills Cop,143894,1984
"Action, Mystery, Thriller",$92.17M,7.0,106 min,Non-Stop,227349,2014
"Action, Sci-Fi",$25.24M,7.2,99 min,Escape from New York,107157,1981
"Adventure, Drama, Family",$82.27M,7.2,96 min,Bridge to Terabithia,126942,2007
"Drama, Thriller",$3.44M,7.5,132 min,Miss Sloane,46096,2016
"Comedy, Romance",$209.22M,7.0,119 min,Wedding Crashers,306248,2005
"Comedy, Drama, Romance",None,7.7,115 min,Breakfast at Tiffany's,145907,1961
"Animation, Action, Adventure",$215.43M,7.6,92 min,Kung Fu Panda,361937,2008
"Action, Crime, Thriller",$0.03M,7.8,108 min,The Boondock Saints,213141,1999
"Adventure, Comedy, Drama",$67.41M,7.0,117 min,Holes,67609,2003
"Action, Adventure, Crime",$121.25M,7.2,116 min,Speed,292417,1994
"Drama, Sci-Fi, Thriller",$12.34M,7.8,106 min,Gattaca,251381,1997
"Drama, Horror, Mystery",$11.40M,7.7,119 min,The Birds,149154,1963
"Drama, Sci-Fi",$0.23M,8.1,162 min,Stalker,91858,1979
"Action, Crime, Drama",$183.88M,7.8,130 min,The Fugitive,237824,1993
"Comedy, Western",$119.50M,7.8,93 min,Blazing Saddles,111317,1974
"Action, Comedy, Sci-Fi",$26.00M,7.0,109 min,The World's End,222927,2013
"Drama, Sci-Fi",$9.93M,8.0,132 min,Brazil,170327,1985
"Adventure, Drama, Family",$73.86M,7.5,126 min,Hugo,276558,2011
"Animation, Adventure, Fantasy",$2.38M,8.4,134 min,Princess Mononoke,278981,1997
"Drama, Mystery",$6.53M,7.2,100 min,Winter's Bone,123835,2010
"Animation, Action, Comedy",$148.42M,7.3,95 min,Megamind,199376,2010
"Animation, Adventure, Comedy",$21.00M,7.8,87 min,Fantastic Mr. Fox,168983,2009
"Action, Crime, Mystery",$111.55M,7.3,132 min,Enemy of the State,207999,1998
"Crime, Drama, Thriller",$81.30M,7.4,139 min,The Talented Mr. Ripley,156454,1999
"Drama, Horror, Musical",$52.90M,7.4,116 min,Sweeney Todd: The Demon Barber of Fleet Street,313602,2007
"Comedy, Drama, Mystery",$41.31M,7.3,131 min,Gosford Park,71406,2001
"Adventure, Drama, Thriller",$57.37M,8.0,143 min,Blood Diamond,449654,2006
Drama,$2.40M,7.2,117 min,T2 Trainspotting,86439,2017
"Action, Adventure, Comedy",$46.30M,7.6,205 min,It's a Mad Mad Mad Mad World,33151,1963
Drama,$98.47M,7.8,154 min,The Color Purple,69219,1985
"Drama, Fantasy, Romance",$217.63M,7.0,127 min,Ghost,172665,1990
Horror,$7.00M,7.4,89 min,Eraserhead,86009,1977
"Drama, Mystery, Thriller",$1.74M,7.5,112 min,We Need to Talk About Kevin,117803,2011
"Comedy, Horror",$30.57M,7.6,97 min,An American Werewolf in London,78182,1981
"Adventure, Drama, Sci-Fi",None,7.7,114 min,Battle Royale,155227,2000
Comedy,$86.30M,8.0,106 min,Young Frankenstein,129255,1974
"Drama, Sci-Fi",$3.03M,7.1,135 min,Melancholia,147629,2011
"Adventure, Comedy, Drama",$13.62M,7.7,106 min,Y Tu Mamá También,102511,2001
"Animation, Adventure, Comedy",$176.39M,7.5,81 min,Ice Age,380922,2002
"Comedy, Crime",$15.02M,7.2,110 min,Seven Psychopaths,215493,2012
"Action, Comedy, Crime",$87.34M,7.0,111 min,Pineapple Express,284457,2008
"Drama, Sport",$6.39M,7.2,119 min,Rocky II,162622,1979
"Adventure, Sci-Fi, Thriller",$3.68M,7.3,107 min,Sunshine,213970,2007
"Mystery, Thriller",$31.90M,7.1,105 min,Dressed to Kill,28924,1980
"Comedy, Drama, Romance",$6.74M,7.8,105 min,Me and Earl and the Dying Girl,107608,2015
"Comedy, Drama, Romance",$19.07M,7.0,108 min,Waitress,40828,2007
"Comedy, Drama",None,7.0,112 min,The Meyerowitz Stories (New and Selected),26257,2017
"Adventure, Comedy, Sci-Fi",$37.41M,7.0,104 min,Paul,214392,2011
"Drama, War",$36.40M,7.6,170 min,The Thin Red Line,156067,1998
"Drama, Romance",$23.22M,7.1,96 min,Vicky Cristina Barcelona,221949,2008
"Biography, Drama, Sport",$23.38M,8.2,129 min,Raging Bull,276472,1980
"Animation, Action, Drama",$0.55M,8.1,124 min,Akira,131009,1988
"Animation, Adventure, Comedy",$162.80M,7.2,95 min,A Bug's Life,239616,1998
"Animation, Adventure, Comedy",$156.45M,7.7,104 min,Who Framed Roger Rabbit,162516,1988
"Comedy, Crime, Mystery",$14.64M,7.3,94 min,Clue,66555,1985
"Action, Comedy, Horror",None,7.1,105 min,Planet Terror,183803,2007
Comedy,$90.40M,7.5,116 min,Trading Places,118486,1983
"Drama, History, Thriller",$83.08M,7.1,121 min,Valkyrie,207408,2008
"Animation, Action, Adventure",$177.00M,7.8,102 min,How to Train Your Dragon 2,258948,2014
"Comedy, Music",$121.70M,7.0,94 min,Wayne's World,127845,1992
Drama,$43.44M,7.3,123 min,A River Runs Through It,47387,1992
"Crime, Drama",None,8.1,126 min,Cool Hand Luke,142302,1967
"Action, Adventure, Thriller",$134.53M,7.2,128 min,Live Free or Die Hard,363317,2007
"Comedy, Horror, Musical",$38.75M,7.0,94 min,Little Shop of Horrors,56463,1986
"Biography, Drama, Sport",$12.10M,7.0,134 min,Foxcatcher,122684,2014
"Biography, Drama",None,8.2,124 min,The Elephant Man,192852,1980
"Animation, Family, Fantasy",None,8.2,86 min,My Neighbor Totoro,224501,1988
"Action, Comedy, Crime",$141.15M,7.0,98 min,Rush Hour,212238,1998
"Action, Thriller, War",$42.75M,7.0,92 min,Rambo,196495,2008
"Drama, Romance",$19.07M,7.1,113 min,Remember Me,126305,2010
Drama,$33.41M,7.3,98 min,Blue Jasmine,174190,2013
"Action, Adventure, Thriller",$63.60M,7.0,130 min,Thunderball,92146,1965
"Drama, War",$9.03M,7.8,94 min,The Boy in the Striped Pajamas,161093,2008
"Drama, Romance, Sci-Fi",$2.43M,7.2,103 min,Never Let Me Go,126395,2010
"Drama, Romance",$5.54M,8.1,101 min,Before Sunrise,227380,1995
"Crime, Drama",$10.72M,7.1,106 min,The Drop,127550,2014
"Adventure, Biography, Drama",$37.88M,7.1,115 min,Wild,106210,2014
"Crime, Drama",$1.53M,8.0,178 min,Dogville,121548,2003
"Animation, Drama, Family",$53.36M,7.4,77 min,Corpse Bride,216057,2005
"Comedy, Drama",$22.25M,7.7,114 min,Adaptation.,160888,2002
"Drama, Fantasy, Romance",$63.41M,7.1,107 min,The Time Traveler's Wife,128652,2009
"Action, Adventure, Comedy",$11.10M,7.3,99 min,Big Trouble in Little China,108117,1986
"Drama, Sci-Fi",$132.09M,7.7,138 min,Close Encounters of the Third Kind,161296,1977
"Animation, Adventure, Comedy",$268.49M,7.3,104 min,Monsters University,278210,2013
"Action, Crime, Drama",$2.06M,7.4,110 min,Brick,92868,2005
"Drama, Romance",$37.43M,7.1,123 min,The Longest Ride,66935,2015
Drama,$21.59M,7.4,130 min,Mud,152502,2012
"Action, Crime, Drama",$1.82M,7.2,103 min,Harry Brown,79300,2009
"Action, Adventure, Drama",$208.55M,7.6,130 min,Dawn of the Planet of the Apes,378398,2014
"Crime, Drama, History",$34.60M,7.8,128 min,Mississippi Burning,75378,1988
"Mystery, Sci-Fi, Thriller",$14.38M,7.7,100 min,Dark City,173263,1998
"Crime, Drama, Thriller",$2.34M,7.4,105 min,Layer Cake,147835,2004
"Comedy, Drama, Romance",$65.71M,7.0,121 min,Ever After: A Cinderella Story,63188,1998
"Drama, Romance",$30.04M,7.6,150 min,Sophie's Choice,34959,1982
"Action, Crime, Thriller",$5.69M,7.3,114 min,RocknRolla,214474,2008
"Adventure, Drama, Western",None,8.0,119 min,The Searchers,70726,1956
"Action, Adventure, Thriller",$51.08M,7.7,110 min,Goldfinger,154000,1964
"Comedy, Drama",$52.36M,7.6,110 min,The Royal Tenenbaums,238142,2001
"Comedy, Drama, Romance",$2.14M,7.4,118 min,Paterson,49479,2016
"Drama, Music, Romance",$22.00M,7.7,110 min,Billy Elliot,110319,2000
"Action, Crime, Thriller",$0.03M,7.1,126 min,Spy Game,132067,2001
"Drama, Fantasy, Romance",$44.62M,7.2,178 min,Meet Joe Black,188702,1998
"Drama, War",$28.50M,7.1,105 min,Brothers,99905,2009
"Biography, Drama",$125.60M,7.3,131 min,Erin Brockovich,152844,2000
"Crime, Drama, Mystery",$37.02M,7.1,127 min,State of Play,123115,2009
"Adventure, Drama, Thriller",$11.49M,8.4,149 min,Das Boot,199825,1981
"Drama, History, Thriller",$47.40M,7.6,164 min,Munich,193997,2005
"Drama, Romance",$69.95M,7.6,123 min,Seven Pounds,260650,2008
"Animation, Family, Fantasy",$184.93M,7.6,83 min,Snow White and the Seven Dwarfs,156801,1937
"Comedy, Crime",$52.93M,7.5,120 min,My Cousin Vinny,93213,1992
"Biography, Drama, History",$30.08M,7.5,124 min,Elizabeth,83256,1998
"Crime, Drama",None,7.9,94 min,Badlands,55873,1973
"Animation, Adventure, Comedy",$56.00M,7.0,92 min,ParaNorman,83754,2012
"Horror, Sci-Fi",$24.95M,7.4,115 min,Invasion of the Body Snatchers,44085,1978
Comedy,$85.29M,7.2,94 min,Anchorman: The Legend of Ron Burgundy,299185,2004
"Drama, Family, Musical",$80.50M,8.0,181 min,Fiddler on the Roof,33823,1971
"Drama, Music",$13.24M,7.5,104 min,Inside Llewyn Davis,118028,2013
Comedy,$3.37M,7.0,117 min,Everybody Wants Some!!,45741,2016
"Adventure, Drama, History",None,8.1,185 min,Barry Lyndon,125997,1975
"Biography, Drama, Family",$59.71M,7.2,123 min,Secretariat,23527,2010
"Drama, Romance",$41.68M,7.6,110 min,The Hours,113566,2002
"Crime, Drama",$17.27M,7.8,121 min,A Bronx Tale,112319,1993
"Drama, Thriller, War",$18.70M,7.3,102 min,Eye in the Sky,69435,2015
"Drama, Sci-Fi",$0.03M,8.3,153 min,Metropolis,136443,1927
"Drama, History, War",$50.80M,7.4,175 min,A Bridge Too Far,45521,1977
"Adventure, Comedy, Family",$76.22M,7.2,95 min,Paddington,76431,2014
Drama,$11.99M,8.5,155 min,Cinema Paradiso,190249,1988
"Action, Drama, Sci-Fi",$176.76M,7.6,105 min,Rise of the Planet of the Apes,461123,2011
"Action, Drama, Family",$85.47M,7.1,127 min,Real Steel,278190,2011
"Adventure, Drama, History",$95.64M,7.2,154 min,Cold Mountain,129080,2003
"Comedy, Drama",$10.62M,8.2,153 min,PK,127666,2014
"Adventure, Crime, Drama",$45.36M,7.4,130 min,Thelma &amp; Louise,116981,1991
"Drama, Mystery, Thriller",$67.36M,7.2,118 min,Insomnia,246734,2002
"Comedy, Drama, Romance",$148.48M,7.7,139 min,As Good as It Gets,247050,1997
"Crime, Drama, Romance",$24.06M,7.4,113 min,Body Heat,26661,1981
"Comedy, Drama, Romance",$92.82M,7.6,96 min,When Harry Met Sally...,170901,1989
"Comedy, Musical, Romance",$8.82M,8.3,103 min,Singin' in the Rain,186750,1952
"Adventure, Biography, Drama",$18.34M,7.6,94 min,127 Hours,313737,2010
"Comedy, Drama, Romance",$26.78M,7.5,102 min,Garden State,198855,2004
"Comedy, Drama, Music",$27.28M,7.5,113 min,High Fidelity,155337,2000
"Mystery, Thriller",$3.80M,7.6,134 min,Lost Highway,114018,1997
"Action, Adventure, Thriller",$46.80M,7.1,125 min,The Spy Who Loved Me,86334,1977
"Animation, Drama, Fantasy",$3.73M,7.5,108 min,A Monster Calls,64990,2016
"Comedy, Drama, Romance",$41.39M,7.1,101 min,About a Boy,156178,2002
"Comedy, Drama, Music",$2.70M,7.3,124 min,Youth,61276,2015
"Animation, Adventure, Drama",$101.22M,7.1,99 min,The Prince of Egypt,104297,1998
"Drama, Sci-Fi, Thriller",$64.58M,7.1,84 min,Chronicle,224472,2012
"Crime, Drama",$43.85M,7.4,126 min,Wall Street,131218,1987
"Drama, Romance",$71.51M,7.3,121 min,Chocolat,164467,2000
"Action, Thriller",$176.24M,7.8,108 min,The Bourne Supremacy,396254,2004
"Comedy, Music",$0.19M,8.0,82 min,This Is Spinal Tap,116927,1984
"Animation, Action, Adventure",$77.59M,7.3,107 min,The Adventures of Tintin,196891,2011
"Biography, Drama",$17.75M,7.2,122 min,Steve Jobs,133223,2015
"Action, Drama, Western",$12.54M,8.0,141 min,Rio Bravo,49061,1959
"Animation, Drama, War",None,8.5,89 min,Grave of the Fireflies,183125,1988
"Action, Sci-Fi, Thriller",None,7.0,88 min,Westworld,44483,1973
"Drama, History, War",$22.24M,7.8,153 min,Empire of the Sun,102341,1987
"Crime, Drama, Thriller",$1.01M,7.1,104 min,Hard Candy,143771,2005
"Adventure, Mystery, Thriller",$13.28M,8.3,136 min,North by Northwest,260494,1959
"Drama, Horror, Romance",$2.12M,7.9,115 min,Let the Right One In,190281,2008
"Action, Crime, Drama",$21.15M,7.4,133 min,The Next Three Days,162426,2010
"Comedy, Drama",$27.55M,7.9,120 min,Do the Right Thing,70745,1989
"Drama, Romance",$2.73M,8.1,98 min,In the Mood for Love,99545,2000
"Mystery, Thriller",None,7.6,108 min,The Body,38551,2012
"Comedy, Crime",$22.85M,7.4,94 min,Raising Arizona,112670,1987
"Comedy, Horror",$11.50M,7.6,81 min,Army of Darkness,146411,1992
Comedy,$128.51M,7.3,84 min,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,324674,2006
Comedy,$20.05M,8.1,94 min,Life of Brian,319715,1979
"Crime, Drama, Thriller",$40.90M,7.6,113 min,Falling Down,151059,1993
"Comedy, Romance",$71.44M,7.0,105 min,"I Love You, Man",181615,2009
"Action, Drama, Horror",$0.13M,7.8,142 min,I Saw the Devil,89079,2010
"Adventure, Drama",$0.06M,7.3,111 min,The Road,200984,2009
"Animation, Action, Adventure",$187.17M,7.2,98 min,The Croods,171385,2013
"Drama, Mystery, Sci-Fi",$0.50M,7.3,90 min,Cube,184384,1997
"Horror, Thriller",$24.92M,7.1,106 min,Fright Night,50771,1985
"Biography, Drama, History",$23.53M,8.1,121 min,Hotel Rwanda,304365,2004
"Biography, Crime, Drama",$50.00M,8.0,125 min,Dog Day Afternoon,212333,1975
"Comedy, Drama, Romance",$71.50M,7.5,127 min,Sideways,165646,2004
"Comedy, Drama, Romance",$52.70M,7.1,117 min,Four Weddings and a Funeral,121532,1994
"Crime, Drama, Thriller",$0.26M,7.1,90 min,Blue Ruin,55862,2013
"Crime, Drama, Mystery",$17.11M,7.7,100 min,Eastern Promises,208987,2007
"Action, Drama, Thriller",$47.54M,7.0,110 min,The Kingdom,110437,2007
"Drama, Romance",$12.23M,7.1,119 min,Far from the Madding Crowd,39281,2015
"Biography, Crime, Drama",$3.90M,7.5,160 min,The Assassination of Jesse James by the Coward Robert Ford,152706,2007
"Drama, Music, Romance",$40.16M,7.6,121 min,The Piano,71172,1993
"Film-Noir, Mystery, Thriller",$0.45M,8.2,93 min,The Third Man,137423,1949
"Comedy, Drama, Romance",$3.43M,7.5,108 min,Malèna,76574,2000
"Comedy, Drama, Romance",$31.97M,7.2,112 min,"Definitely, Maybe",142069,2008
"Adventure, Drama, Sci-Fi",$54.46M,7.6,145 min,The Abyss,147172,1989
"Comedy, Horror",$16.67M,7.2,96 min,Tremors,104521,1990
Western,$14.50M,8.0,99 min,A Fistful of Dollars,170842,1964
"Drama, War",None,8.2,142 min,Come and See,39849,1985
"Adventure, Family, Fantasy",$40.58M,7.2,93 min,The Dark Crystal,48063,1982
"Crime, Drama",$4.50M,8.0,180 min,"Blood In, Blood Out",25928,1993
Drama,$44.79M,7.9,113 min,Midnight Cowboy,87186,1969
"Comedy, Crime, Drama",$14.56M,7.2,125 min,Wild at Heart,72012,1990
"Adventure, Drama, Fantasy",$34.97M,7.4,140 min,Excalibur,51923,1981
"Comedy, Drama, Romance",$6.35M,7.1,101 min,It's Kind of a Funny Story,122132,2010
"Comedy, Drama, Family",$114.97M,7.3,104 min,Big,172110,1988
"Biography, Crime, Drama",$41.91M,7.8,127 min,Donnie Brasco,249189,1997
"Adventure, Comedy, Drama",$30.65M,7.3,130 min,Dogma,194674,1999
"Crime, Drama, Thriller",None,7.2,130 min,Elle,50955,2016
"Drama, Fantasy, Musical",$24.34M,7.4,133 min,Across the Universe,99633,2007
"Crime, Horror, Mystery",$8.62M,7.2,120 min,Manhunter,57341,1986
"Animation, Adventure, Family",$141.84M,7.6,78 min,The Jungle Book,144075,1967
Comedy,$8.58M,7.4,90 min,Death at a Funeral,98972,2007
"Crime, Drama",$57.50M,7.8,112 min,Boyz n the Hood,107896,1991
"Biography, Drama",$116.63M,7.2,132 min,The Butler,99715,2013
"Crime, Drama, Mystery",$32.17M,7.1,106 min,Side Effects,164413,2013
"Action, Adventure, Thriller",$100.01M,7.6,128 min,Die Hard with a Vengeance,331092,1995
"Romance, Sci-Fi, Thriller",$62.50M,7.1,106 min,The Adjustment Bureau,221545,2011
"Comedy, Drama",$17.11M,7.7,93 min,Rushmore,152862,1998
"Crime, Drama, Thriller",$3.13M,7.4,112 min,Mean Streets,80676,1973
"Comedy, Drama",None,7.8,97 min,Perfetti sconosciuti,39135,2016
"Comedy, Drama, History",$100.32M,7.1,123 min,Shakespeare in Love,195786,1998
"Biography, Drama, History",$70.60M,8.0,138 min,All the President's Men,87713,1976
"Adventure, Biography, Drama",$10.14M,7.3,123 min,The Walk,105115,2015
"Drama, Romance",$5.46M,7.5,136 min,Little Children,98909,2006
"Action, Adventure, Fantasy",$128.08M,7.9,120 min,"Crouching Tiger, Hidden Dragon",235016,2000
"Adventure, Comedy, Drama",$2.28M,7.9,117 min,The Fall,99272,2006
"Adventure, Drama, History",$74.70M,8.1,212 min,Ben-Hur,194128,1959
"Drama, History, War",$79.88M,7.2,146 min,War Horse,132036,2011
"Crime, Drama",$47.12M,7.4,141 min,The Judge,157917,2014
"Biography, Drama",$48.23M,7.2,120 min,Mask,23141,1985
"Action, Adventure, Drama",$93.93M,7.4,138 min,Master and Commander: The Far Side of the World,185247,2003
"Action, Crime, Thriller",$2.63M,8.0,150 min,The Raid 2,99958,2014
"Drama, Romance",$36.14M,7.1,129 min,Last Tango in Paris,42910,1972
"Biography, Drama, Family",$51.68M,7.7,106 min,Finding Neverland,187619,2004
"Animation, Adventure, Comedy",$123.48M,7.2,107 min,Rango,208436,2011
"Biography, Drama, History",$33.31M,7.3,109 min,Woman in Gold,46195,2015
"Biography, Drama, History",$1.82M,7.3,129 min,Testament of Youth,21860,2014
"Drama, Romance",$57.49M,7.4,145 min,Memoirs of a Geisha,128902,2005
"Crime, Drama, Film-Noir",$2.24M,8.1,95 min,Touch of Evil,89250,1958
"Drama, Mystery, Romance",$33.58M,7.4,129 min,The Constant Gardener,122304,2005
Drama,$12.57M,7.3,100 min,An Education,121002,2009
"Adventure, Drama",$93.74M,7.9,220 min,The Ten Commandments,55355,1956
"Action, Thriller",$25.63M,7.2,104 min,Desperado,154710,1995
"Animation, Action, Adventure",$5.85M,7.3,84 min,The Transformers: The Movie,34762,1986
"Action, Drama, Sci-Fi",$1.20M,7.5,107 min,Equilibrium,288651,2002
"Drama, Sport",$47.95M,7.5,138 min,The Natural,38330,1984
"Action, Crime, Drama",$7.92M,7.2,145 min,Strange Days,60731,1995
"Biography, Comedy, Drama",$34.58M,7.4,118 min,Man on the Moon,113546,1999
"Comedy, Drama, Fantasy",$1.88M,7.3,123 min,Only Lovers Left Alive,77190,2013
"Biography, Drama, Romance",$16.10M,7.5,85 min,Fruitvale Station,65750,2013
"Comedy, Drama, Romance",$0.02M,7.2,102 min,Cashback,78270,2006
Horror,$0.09M,7.9,96 min,Night of the Living Dead,100864,1968
Drama,$47.40M,7.3,110 min,Precious,97740,2009
"Sci-Fi, Thriller",$79.57M,7.1,114 min,WarGames,80819,1983
Drama,$24.48M,8.0,135 min,Sling Blade,79721,1996
"Comedy, Crime, Drama",$2.50M,7.8,109 min,The King of Comedy,64286,1982
"Comedy, Drama, Music",$7.99M,7.4,117 min,Pirate Radio,99341,2009
Drama,$82.42M,7.7,130 min,Fried Green Tomatoes,59235,1991
"Biography, Drama, Romance",$25.89M,7.4,123 min,Frida,71905,2002
"Drama, Music",$31.66M,7.5,114 min,August Rush,96988,2007
"Biography, Drama, War",$62.66M,7.0,125 min,Jarhead,158330,2005
"Animation, Family, Fantasy",$85.00M,7.3,74 min,Cinderella,125090,1950
"Action, Drama, Sport",$61.19M,7.3,118 min,Friday Night Lights,52764,2004
"Biography, Comedy, Drama",$66.66M,7.1,102 min,Charlie Wilson's War,98041,2007
"Comedy, Crime, Drama",$0.03M,7.1,97 min,Filth,89828,2013
"Drama, Romance, Thriller",$23.09M,7.6,124 min,Match Point,186311,2005
"Crime, Drama, Thriller",$16.25M,7.7,124 min,21 Grams,207753,2003
"Biography, Crime, Drama",$2.42M,7.3,102 min,The Basketball Diaries,90976,1995
"Biography, Drama, Sport",$22.75M,7.5,114 min,Rudy,48468,1993
"Drama, History, War",$4.19M,7.1,111 min,The Water Diviner,64652,2014
Comedy,$124.06M,7.0,117 min,The Birdcage,69933,1996
"Comedy, Drama",$2.02M,7.1,119 min,The Dressmaker,43281,2015
"Drama, Family",$1.22M,8.4,165 min,Taare Zameen Par,129889,2007
"Drama, Sport",$26.24M,7.9,109 min,The Wrestler,272527,2008
"Biography, Drama, History",$64.38M,7.5,135 min,Miracle,41854,2004
Horror,$4.27M,7.6,111 min,The Omen,93591,1976
Drama,$34.30M,7.5,143 min,Babel,267082,2006
"Biography, Drama",$31.84M,7.6,128 min,Milk,151705,2008
"Drama, Romance",$2.06M,7.5,120 min,Rust and Bone,57059,2012
"Adventure, Drama, History",$2.70M,7.3,133 min,The Way Back,99232,2010
"Crime, Mystery, Thriller",$0.03M,8.4,99 min,M,121306,1931
"Comedy, Drama",None,7.3,97 min,The Fundamentals of Caring,43619,2016
"Adventure, Drama",$41.73M,7.4,95 min,Easy Rider,85393,1969
"Drama, Thriller",$5.35M,7.1,107 min,Margin Call,103865,2011
"Comedy, Drama, War",$81.60M,7.6,116 min,MASH,61637,1970
"Action, Adventure, Crime",$41.62M,7.3,122 min,Ronin,158139,1998
"Comedy, Drama, Romance",$80.64M,7.1,102 min,Moonstruck,41385,1987
"Drama, Fantasy, Sci-Fi",None,7.9,87 min,The Man from Earth,155018,2007
"Drama, Fantasy, Romance",$55.49M,7.0,113 min,What Dreams May Come,92906,1998
"Drama, Mystery, Thriller",None,7.4,97 min,The Hidden Face,29233,2011
"Crime, Drama, Thriller",$6.95M,7.3,89 min,Sexy Beast,48679,2000
"Drama, Romance, Sci-Fi",$0.33M,7.4,106 min,I Origins,99652,2014
"Horror, Mystery, Thriller",None,7.5,78 min,[Rec],148313,2007
"Action, Comedy, Crime",None,8.2,321 min,Gangs of Wasseypur,64770,2012
"Animation, Action, Adventure",$23.16M,8.0,86 min,The Iron Giant,151138,1999
"Crime, Drama, Thriller",$5.74M,7.0,125 min,A Most Violent Year,57331,2014
"Comedy, Drama, Romance",$9.45M,7.1,98 min,Away We Go,48954,2009
"Animation, Comedy, Drama",None,8.1,92 min,Mary and Max,145147,2009
"Drama, Romance, War",$111.72M,8.0,197 min,Doctor Zhivago,62251,1965
"Drama, Romance",$5.79M,8.1,80 min,Before Sunset,198668,2004
"Adventure, Biography, Drama",$36.73M,7.1,120 min,Alive,44652,1993
"Comedy, Drama, Romance",$1.75M,7.7,90 min,Flipped,72354,2010
"Horror, Mystery, Thriller",$0.06M,7.6,88 min,The Wicker Man,56213,1973
"Comedy, Drama",$9.19M,7.0,106 min,A Serious Man,116950,2009
"Biography, Drama, Sport",$34.53M,7.1,123 min,Concussion,73651,2015
"Comedy, Drama, Music",$16.17M,7.4,104 min,Begin Again,124981,2013
"Comedy, Drama, Romance",$20.78M,7.4,100 min,Say Anything...,74312,1989
"Comedy, Drama, Romance",$177.20M,7.4,116 min,Tootsie,86627,1982
Western,$15.00M,8.3,132 min,For a Few Dollars More,194532,1965
"Action, Comedy, Crime",$17.11M,7.8,99 min,Kung Fu Hustle,112169,2004
"Action, Crime, Thriller",$147.25M,7.2,114 min,Lethal Weapon 2,144394,1989
"Drama, Music",$1.90M,7.5,131 min,The Piano Teacher,47089,2001
