genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Action, Adventure, Sci-Fi",$408.08M,7.8,147 min,Captain America: Civil War,524829,2016,Captain America: Civil War,Captain America Civil War
"Drama, Romance",$330.25M,8.8,142 min,Forrest Gump,1522731,1994,Forrest Gump,Forrest Gump
"Action, Adventure, Sci-Fi",$623.36M,8.1,143 min,The Avengers,1126719,2012,The Avengers,The Avengers
"Drama, Horror",$44.02M,8.4,146 min,The Shining,739537,1980,The Shining,The Shining
"Action, Crime, Drama",$44.95M,7.0,140 min,Den of Thieves,52635,2018,Den of Thieves,Den of Thieves
"Family, Fantasy, Musical",$504.01M,7.2,129 min,Beauty and the Beast,217437,2017,Beauty and the Beast,Beauty and the Beast
"Crime, Drama, Mystery",$54.12M,7.8,187 min,The Hateful Eight,404681,2015,The Hateful Eight,The Hateful Eight
"Adventure, Family, Fantasy",$249.36M,7.9,142 min,Harry Potter and the Prisoner of Azkaban,460781,2004,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
"Crime, Drama, Mystery",$33.80M,7.7,107 min,Wind River,144721,2017,Wind River,Wind River
"Drama, Western",$162.81M,8.4,165 min,Django Unchained,1153727,2012,Django Unchained,Django Unchained
"Action, Adventure, Thriller",$195.04M,7.4,131 min,Mission: Impossible - Rogue Nation,294125,2015,Mission: Impossible - Rogue Nation,Mission Impossible  Rogue Nation
"Action, Thriller",$448.14M,8.4,164 min,The Dark Knight Rises,1332383,2012,The Dark Knight Rises,The Dark Knight Rises
"Adventure, Comedy, Sci-Fi",$210.61M,8.5,116 min,Back to the Future,885319,1985,Back to the Future,Back to the Future
"Drama, Mystery, Sci-Fi",$25.44M,7.7,108 min,Ex Machina,398260,2014,Ex Machina,Ex Machina
"Action, Adventure, Sci-Fi",$63.54M,7.7,126 min,The Fifth Element,388669,1997,The Fifth Element,The Fifth Element
Comedy,$121.46M,7.6,113 min,Superbad,468912,2007,Superbad,Superbad
"Comedy, Drama, Music",$151.10M,8.1,128 min,La La Land,395056,2016,La La Land,La La Land
"Biography, Comedy, Drama",$21.12M,7.5,104 min,The Disaster Artist,95569,2017,The Disaster Artist,The Disaster Artist
"Action, Drama, Mystery",$107.51M,7.6,162 min,Watchmen,438827,2009,Watchmen,Watchmen
"Crime, Drama, Thriller",$132.38M,8.5,151 min,The Departed,1029084,2006,The Departed,The Departed
"Adventure, Sci-Fi, Thriller",$408.01M,7.2,142 min,The Hunger Games,775475,2012,The Hunger Games,The Hunger Games
"Drama, Mystery, Sci-Fi",$100.55M,7.9,116 min,Arrival,471687,2016,Arrival,Arrival
"Biography, Drama, History",$96.07M,8.9,195 min,Schindler's List,1032506,1993,Schindler's List,Schindlers List
"Crime, Drama, Thriller",$74.28M,8.1,122 min,No Country for Old Men,732471,2007,No Country for Old Men,No Country for Old Men
"Animation, Comedy, Family",$270.33M,7.1,108 min,Sing,103902,2016,Sing,Sing
"Action, Sci-Fi",$171.48M,8.7,136 min,The Matrix,1435644,1999,The Matrix,The Matrix
"Action, Adventure, Fantasy",$155.25M,7.0,124 min,The Mummy,355791,1999,The Mummy,The Mummy
"Action, Crime, Thriller",$43.04M,7.3,101 min,John Wick,400365,2014,John Wick,John Wick
"Comedy, Drama",$9.23M,7.0,95 min,Tully,24987,2018,Tully,Tully
"Crime, Drama, Mystery",$100.13M,8.6,127 min,Se7en,1222347,1995,Se7en,Se7en
"Crime, Drama, Thriller",$130.74M,8.6,118 min,The Silence of the Lambs,1072373,1991,The Silence of the Lambs,The Silence of the Lambs
"Drama, Horror, Mystery",$71.90M,7.2,103 min,10 Cloverfield Lane,245815,2016,10 Cloverfield Lane,10 Cloverfield Lane
"Animation, Adventure, Comedy",$32.02M,8.0,101 min,Isle of Dogs,73325,2018,Isle of Dogs,Isle of Dogs
"Biography, Crime, Drama",$28.78M,7.5,140 min,Molly's Game,83202,2017,Molly's Game,Mollys Game
"Action, Adventure, Comedy",$128.26M,7.7,129 min,Kingsman: The Secret Service,519638,2014,Kingsman: The Secret Service,Kingsman The Secret Service
"Animation, Adventure, Comedy",$400.74M,7.5,102 min,Frozen,493734,2013,Frozen,Frozen
"Action, Biography, Drama",$56.51M,7.8,130 min,Tombstone,109595,1993,Tombstone,Tombstone
"Crime, Drama",$45.60M,8.3,170 min,Scarface,635620,1983,Scarface,Scarface
Drama,$37.03M,8.8,139 min,Fight Club,1601400,1999,Fight Club,Fight Club
"Comedy, Drama, Romance",$40.83M,7.7,110 min,"Love, Simon",61613,2018,"Love, Simon",Love Simon
"Comedy, Romance",$23.69M,7.1,93 min,Sixteen Candles,88242,1984,Sixteen Candles,Sixteen Candles
"Drama, Music",$13.09M,8.5,107 min,Whiplash,571629,2014,Whiplash,Whiplash
"Crime, Drama, Thriller",$19.50M,8.6,110 min,Léon: The Professional,876604,1994,Léon: The Professional,Leon The Professional
"Comedy, Fantasy",$73.71M,7.5,92 min,Beetlejuice,220558,1988,Beetlejuice,Beetlejuice
"Action, Crime, Thriller",$101.53M,7.2,132 min,The Equalizer,280996,2014,The Equalizer,The Equalizer
"Crime, Drama",$15.07M,7.6,102 min,American Psycho,413847,2000,American Psycho,American Psycho
"Comedy, Music",$81.26M,7.1,108 min,School of Rock,235442,2003,School of Rock,School of Rock
"Action, Adventure, Fantasy",$760.51M,7.8,162 min,Avatar,1003548,2009,Avatar,Avatar
"Horror, Sci-Fi",$78.90M,8.5,116 min,Alien,682894,1979,Alien,Alien
"Drama, Romance",$56.25M,7.4,106 min,Me Before You,154117,2016,Me Before You,Me Before You
"Adventure, Family, Fantasy",$290.01M,7.7,157 min,Harry Potter and the Goblet of Fire,461294,2005,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
"Action, Adventure, Sci-Fi",$233.92M,8.0,132 min,X-Men: Days of Future Past,596189,2014,X-Men: Days of Future Past,XMen Days of Future Past
"Biography, Drama",$18.34M,7.7,134 min,Only the Brave,35829,2017,Only the Brave,Only the Brave
"Biography, Drama, History",$81.90M,7.2,116 min,The Post,89047,2017,The Post,The Post
Drama,$130.10M,8.4,122 min,American Beauty,955996,1999,American Beauty,American Beauty
"Comedy, Family, Fantasy",$102.27M,7.8,139 min,Mary Poppins,127696,1964,Mary Poppins,Mary Poppins
"Biography, Comedy, Drama",$30.01M,7.5,120 min,"I, Tonya",112140,2017,"I, Tonya",I Tonya
"Sci-Fi, Thriller",$27.00M,8.2,117 min,Blade Runner,600506,1982,Blade Runner,Blade Runner
"Adventure, Family, Fantasy",$30.86M,8.1,98 min,The Princess Bride,344165,1987,The Princess Bride,The Princess Bride
"Animation, Adventure, Drama",$312.90M,8.5,88 min,The Lion King,787566,1994,The Lion King,The Lion King
"Action, Adventure, Drama",$377.85M,8.9,201 min,The Lord of the Rings: The Return of the King,1424752,2003,The Lord of the Rings: The Return of the King,The Lord of the Rings The Return of the King
