genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Drama, Fantasy, Sci-Fi",None,7.9,87 min,The Man from Earth,155018,2007,The Man from Earth,The Man from Earth
"Drama, Fantasy, Romance",$55.49M,7.0,113 min,What Dreams May Come,92906,1998,What Dreams May Come,What Dreams May Come
"Drama, Mystery, Thriller",None,7.4,97 min,The Hidden Face,29233,2011,The Hidden Face,The Hidden Face
"Crime, Drama, Thriller",$6.95M,7.3,89 min,Sexy Beast,48679,2000,Sexy Beast,Sexy Beast
"Drama, Romance, Sci-Fi",$0.33M,7.4,106 min,I Origins,99652,2014,I Origins,I Origins
"Horror, Mystery, Thriller",None,7.5,78 min,[Rec],148313,2007,[Rec],Rec
"Action, Comedy, Crime",None,8.2,321 min,Gangs of Wasseypur,64770,2012,Gangs of Wasseypur,Gangs of Wasseypur
"Animation, Action, Adventure",$23.16M,8.0,86 min,The Iron Giant,151138,1999,The Iron Giant,The Iron Giant
"Crime, Drama, Thriller",$5.74M,7.0,125 min,A Most Violent Year,57331,2014,A Most Violent Year,A Most Violent Year
"Comedy, Drama, Romance",$9.45M,7.1,98 min,Away We Go,48954,2009,Away We Go,Away We Go
"Animation, Comedy, Drama",None,8.1,92 min,Mary and Max,145147,2009,Mary and Max,Mary and Max
"Drama, Romance, War",$111.72M,8.0,197 min,Doctor Zhivago,62251,1965,Doctor Zhivago,Doctor Zhivago
"Drama, Romance",$5.79M,8.1,80 min,Before Sunset,198668,2004,Before Sunset,Before Sunset
"Adventure, Biography, Drama",$36.73M,7.1,120 min,Alive,44652,1993,Alive,Alive
"Comedy, Drama, Romance",$1.75M,7.7,90 min,Flipped,72354,2010,Flipped,Flipped
"Horror, Mystery, Thriller",$0.06M,7.6,88 min,The Wicker Man,56213,1973,The Wicker Man,The Wicker Man
"Comedy, Drama",$9.19M,7.0,106 min,A Serious Man,116950,2009,A Serious Man,A Serious Man
"Biography, Drama, Sport",$34.53M,7.1,123 min,Concussion,73651,2015,Concussion,Concussion
"Comedy, Drama, Music",$16.17M,7.4,104 min,Begin Again,124981,2013,Begin Again,Begin Again
"Comedy, Drama, Romance",$20.78M,7.4,100 min,Say Anything...,74312,1989,Say Anything...,Say Anything
"Comedy, Drama, Romance",$177.20M,7.4,116 min,Tootsie,86627,1982,Tootsie,Tootsie
Western,$15.00M,8.3,132 min,For a Few Dollars More,194532,1965,For a Few Dollars More,For a Few Dollars More
"Action, Comedy, Crime",$17.11M,7.8,99 min,Kung Fu Hustle,112169,2004,Kung Fu Hustle,Kung Fu Hustle
"Action, Crime, Thriller",$147.25M,7.2,114 min,Lethal Weapon 2,144394,1989,Lethal Weapon 2,Lethal Weapon 2
"Drama, Music",$1.90M,7.5,131 min,The Piano Teacher,47089,2001,The Piano Teacher,The Piano Teacher
"Biography, Drama, Sport",$61.65M,8.0,144 min,Cinderella Man,162761,2005,Cinderella Man,Cinderella Man
"Drama, Romance",$18.55M,7.1,95 min,Some Kind of Wonderful,23506,1987,Some Kind of Wonderful,Some Kind of Wonderful
"Drama, Family, Musical",$72.00M,7.9,170 min,My Fair Lady,76894,1964,My Fair Lady,My Fair Lady
"Comedy, Drama, Romance",$5.97M,7.3,106 min,Lars and the Real Girl,127877,2007,Lars and the Real Girl,Lars and the Real Girl
"Drama, Romance, Thriller",None,7.1,106 min,Colonia,38396,2015,Colonia,Colonia
"Animation, Action, Adventure",$143.53M,7.1,95 min,Kung Fu Panda 3,107183,2016,Kung Fu Panda 3,Kung Fu Panda 3
"Crime, Drama, Thriller",$36.95M,7.9,144 min,Carlito's Way,180533,1993,Carlito's Way,Carlitos Way
Comedy,$49.53M,7.6,93 min,"Planes, Trains &amp; Automobiles",105273,1987,"Planes, Trains and Automobiles",Planes Trains and Automobiles
"Animation, Adventure, Drama",$48.09M,7.4,69 min,The Land Before Time,70465,1988,The Land Before Time,The Land Before Time
"Comedy, Drama, Romance",$35.01M,7.7,100 min,50/50,294795,2011,50/50,5050
"Animation, Adventure, Comedy",$50.15M,7.3,95 min,The Book of Life,57275,2014,The Book of Life,The Book of Life
"Comedy, Romance, Sci-Fi",$13.00M,7.0,108 min,Real Genius,26997,1985,Real Genius,Real Genius
"Drama, Horror, Mystery",$4.16M,7.2,135 min,Twin Peaks: Fire Walk with Me,73155,1992,Twin Peaks: Fire Walk with Me,Twin Peaks Fire Walk with Me
"Comedy, Drama",$54.24M,7.3,122 min,The Hundred-Foot Journey,65999,2014,The Hundred-Foot Journey,The HundredFoot Journey
"Comedy, Drama, Romance",$44.67M,7.9,100 min,The Artist,211952,2011,The Artist,The Artist
"Biography, Drama, Romance",$87.10M,7.2,161 min,Out of Africa,61848,1985,Out of Africa,Out of Africa
"Comedy, Drama, Romance",$17.84M,7.3,95 min,Punch-Drunk Love,127098,2002,Punch-Drunk Love,PunchDrunk Love
"Action, Drama, History",$78.12M,7.2,138 min,We Were Soldiers,117234,2002,We Were Soldiers,We Were Soldiers
"Crime, Drama, Romance",$68.71M,7.4,112 min,Witness,75567,1985,Witness,Witness
"Drama, Film-Noir",None,8.5,110 min,Sunset Blvd.,170616,1950,Sunset Blvd.,Sunset Blvd
"Biography, Drama, Sport",$67.26M,7.3,136 min,Coach Carter,106649,2005,Coach Carter,Coach Carter
"Adventure, Comedy, Romance",None,8.0,100 min,To Have and Have Not,26896,1944,To Have and Have Not,To Have and Have Not
"Comedy, Music",$11.22M,7.5,104 min,"The Adventures of Priscilla, Queen of the Desert",41758,1994,"The Adventures of Priscilla, Queen of the Desert",The Adventures of Priscilla Queen of the Desert
"Crime, Drama, Romance",$37.56M,7.0,123 min,Out of Sight,78006,1998,Out of Sight,Out of Sight
"Animation, Adventure, Family",$103.41M,7.3,97 min,Rise of the Guardians,140173,2012,Rise of the Guardians,Rise of the Guardians
"Horror, Mystery, Thriller",$17.19M,7.3,113 min,Angel Heart,70718,1987,Angel Heart,Angel Heart
"Comedy, Music",$20.50M,7.2,90 min,Top Secret!,52447,1984,Top Secret!,Top Secret
"Drama, Romance",$38.90M,7.6,138 min,Romeo and Juliet,26375,1968,Romeo and Juliet,Romeo and Juliet
Comedy,$3.15M,7.8,92 min,Clerks,197113,1994,Clerks,Clerks
"Animation, Adventure, Comedy",$15.09M,7.7,101 min,Ponyo,102332,2008,Ponyo,Ponyo
"Animation, Adventure, Drama",$58.41M,7.1,94 min,Anastasia,99614,1997,Anastasia,Anastasia
"Drama, Romance",$9.17M,7.6,99 min,A Single Man,96901,2009,A Single Man,A Single Man
"Animation, Action, Adventure",$124.87M,7.0,90 min,Cloudy with a Chance of Meatballs,177722,2009,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs
"Comedy, Drama, Fantasy",$40.57M,7.5,124 min,Pleasantville,112023,1998,Pleasantville,Pleasantville
Drama,$37.74M,7.2,121 min,August: Osage County,77257,2013,August: Osage County,August Osage County
"Animation, Action, Adventure",$31.74M,7.1,79 min,9,122588,2009,9,9
"Biography, Crime, Drama",$14.48M,7.0,106 min,Big Eyes,73350,2014,Big Eyes,Big Eyes
"Animation, Adventure, Drama",None,7.7,91 min,Watership Down,29040,1978,Watership Down,Watership Down
"Drama, Romance",$129.80M,7.0,124 min,An Officer and a Gentleman,42963,1982,An Officer and a Gentleman,An Officer and a Gentleman
"Adventure, Comedy, Drama",$24.01M,7.3,119 min,The Life Aquatic with Steve Zissou,160517,2004,The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou
"Comedy, Drama, Romance",$18.60M,8.3,125 min,The Apartment,135854,1960,The Apartment,The Apartment
Drama,$3.49M,8.1,139 min,Mommy,40430,2014,Mommy,Mommy
"Adventure, Drama, Western",$31.13M,7.4,128 min,True Grit,37539,1969,True Grit,True Grit
"Animation, Adventure, Comedy",$32.06M,7.6,83 min,Robin Hood,98643,1973,Robin Hood,Robin Hood
"Comedy, Drama, Romance",$7.46M,7.0,117 min,A Good Year,80164,2006,A Good Year,A Good Year
"Action, Crime, Thriller",None,7.8,102 min,Dirty Harry,127966,1971,Dirty Harry,Dirty Harry
"Crime, Drama, Sport",$0.34M,7.5,109 min,Green Street Hooligans,130769,2005,Green Street Hooligans,Green Street Hooligans
"Drama, Fantasy",None,8.2,96 min,The Seventh Seal,136477,1957,The Seventh Seal,The Seventh Seal
"Biography, Crime, Drama",$15.43M,7.0,127 min,The Infiltrator,58150,2016,The Infiltrator,The Infiltrator
"Drama, Romance",$34.70M,7.6,119 min,Dangerous Liaisons,58299,1988,Dangerous Liaisons,Dangerous Liaisons
Drama,$106.26M,7.8,105 min,Kramer vs. Kramer,113479,1979,Kramer vs. Kramer,Kramer vs Kramer
Drama,$2.54M,7.1,115 min,Naked Lunch,41369,1991,Naked Lunch,Naked Lunch
"Biography, Drama",$25.01M,8.1,133 min,In the Name of the Father,135555,1993,In the Name of the Father,In the Name of the Father
"Action, Crime, Thriller",$27.83M,7.0,88 min,Crank,216274,2006,Crank,Crank
"Drama, Thriller",$5.38M,8.1,154 min,Amores Perros,201013,2000,Amores Perros,Amores Perros
"Biography, Drama, History",$48.17M,7.7,202 min,Malcolm X,72949,1992,Malcolm X,Malcolm X
"Drama, Thriller",$31.49M,7.5,96 min,A History of Violence,205729,2005,A History of Violence,A History of Violence
"Biography, Crime, Drama",$29.80M,7.8,130 min,Serpico,93280,1973,Serpico,Serpico
Drama,$54.80M,7.8,124 min,Ordinary People,40460,1980,Ordinary People,Ordinary People
"Crime, Drama, Thriller",$27.90M,7.5,97 min,Menace II Society,45277,1993,Menace II Society,Menace  Society
"Crime, Drama",$22.91M,7.3,121 min,Rounders,132079,1998,Rounders,Rounders
"Biography, Crime, Drama",$3.05M,7.4,99 min,Heavenly Creatures,54784,1994,Heavenly Creatures,Heavenly Creatures
"Biography, Drama, Sport",$44.47M,7.4,129 min,"McFarland, USA",30116,2015,"McFarland, USA",McFarland USA
Drama,$18.75M,7.5,101 min,Still Alice,111755,2014,Still Alice,Still Alice
"Drama, History, Thriller",$70.41M,8.0,189 min,JFK,127328,1991,JFK,JFK
"Action, Comedy, Crime",$59.51M,7.0,105 min,The Last Boy Scout,83902,1991,The Last Boy Scout,The Last Boy Scout
"Crime, Drama, Romance",$30.03M,7.3,111 min,The Bank Job,163071,2008,The Bank Job,The Bank Job
"Biography, Drama",$52.10M,7.8,121 min,Awakenings,107527,1990,Awakenings,Awakenings
"Crime, Drama, Thriller",$24.15M,7.6,122 min,Lord of War,271166,2005,Lord of War,Lord of War
Drama,$8.00M,8.0,122 min,A Streetcar Named Desire,88597,1951,A Streetcar Named Desire,A Streetcar Named Desire
"Comedy, Drama",$1.98M,7.0,101 min,Demolition,72801,2015,Demolition,Demolition
"Comedy, Romance",$39.20M,8.0,93 min,Annie Hall,230665,1977,Annie Hall,Annie Hall
"Action, Crime, Drama",None,7.8,104 min,The French Connection,95762,1971,The French Connection,The French Connection
"Drama, Mystery, Thriller",$1.03M,7.0,95 min,Buried,134937,2010,Buried,Buried
"Biography, Drama, History",$17.45M,7.0,127 min,The Zookeeper's Wife,27911,2017,The Zookeeper's Wife,The Zookeepers Wife
"Biography, Comedy, Drama",$5.89M,7.9,127 min,Ed Wood,154112,1994,Ed Wood,Ed Wood
"Comedy, Crime",$63.49M,7.6,108 min,A Fish Called Wanda,118953,1988,A Fish Called Wanda,A Fish Called Wanda
"Comedy, Romance",$10.30M,7.2,97 min,Better Off Dead...,37541,1985,Better Off Dead...,Better Off Dead
"Biography, Drama, History",$52.77M,8.1,191 min,Gandhi,201118,1982,Gandhi,Gandhi
Drama,$6.40M,7.1,104 min,My Own Private Idaho,42817,1991,My Own Private Idaho,My Own Private Idaho
"Comedy, Drama",$15.19M,7.2,106 min,Muriel's Wedding,31277,1994,Muriel's Wedding,Muriels Wedding
"Comedy, Drama",$21.50M,7.4,103 min,The Way Way Back,129592,2013,The Way Way Back,The Way Way Back
"Drama, Romance",$8.11M,7.9,109 min,Before Midnight,117395,2013,Before Midnight,Before Midnight
"Comedy, Drama",$6.22M,7.4,111 min,Ghost World,104877,2001,Ghost World,Ghost World
"Comedy, Drama",$108.42M,7.4,132 min,Terms of Endearment,47438,1983,Terms of Endearment,Terms of Endearment
"Action, Drama, History",$28.64M,7.2,137 min,Defiance,127491,2008,Defiance,Defiance
"Drama, Mystery, Sci-Fi",None,8.1,167 min,Solaris,66320,1971,Solaris,Solaris
"Crime, Drama, Horror",None,7.6,108 min,Funny Games,53519,1997,Funny Games,Funny Games
Drama,$0.01M,8.3,138 min,All About Eve,102511,1950,All About Eve,All About Eve
"Drama, Romance",$20.97M,7.4,117 min,A Room with a View,34617,1985,A Room with a View,A Room with a View
"Adventure, Biography, Drama",$21.50M,7.9,193 min,The Right Stuff,50424,1983,The Right Stuff,The Right Stuff
Drama,$1.01M,8.0,96 min,Short Term 12,69410,2013,Short Term 12,Short Term 12
"Horror, Thriller",$5.10M,8.0,127 min,Dawn of the Dead,100359,1978,Dawn of the Dead,Dawn of the Dead
"Crime, Drama, Thriller",$5.08M,7.8,115 min,Miller's Crossing,114835,1990,Miller's Crossing,Millers Crossing
"Biography, Drama, Family",$32.48M,7.8,108 min,October Sky,72641,1999,October Sky,October Sky
"Biography, Drama",$20.19M,7.3,129 min,The People vs. Larry Flynt,79641,1996,The People vs. Larry Flynt,The People vs Larry Flynt
"Drama, Romance",$31.25M,7.1,111 min,Monster's Ball,77018,2001,Monster's Ball,Monsters Ball
"Crime, Drama",$1.04M,7.3,113 min,Animal Kingdom,50479,2010,Animal Kingdom,Animal Kingdom
"Animation, Action, Crime",$0.52M,8.0,83 min,Ghost in the Shell,110153,1995,Ghost in the Shell,Ghost in the Shell
"Drama, Romance",$32.20M,7.2,139 min,The Age of Innocence,42196,1993,The Age of Innocence,The Age of Innocence
"Biography, Drama, History",$52.08M,7.5,128 min,Selma,74793,2014,Selma,Selma
"Drama, Musical, Romance",$29.08M,7.0,135 min,Rent,45305,2005,Rent,Rent
"Drama, Mystery, Thriller",$15.54M,7.2,128 min,The Ghost Writer,145239,2010,The Ghost Writer,The Ghost Writer
"Comedy, Horror",$0.24M,7.5,104 min,Braindead,84688,1992,Braindead,Braindead
"Biography, Drama",$7.06M,7.3,124 min,Quills,48159,2000,Quills,Quills
"Comedy, Drama",$19.52M,8.1,174 min,La Dolce Vita,56750,1960,La Dolce Vita,La Dolce Vita
"Comedy, Drama, Romance",$17.54M,7.0,93 min,Enough Said,54493,2013,Enough Said,Enough Said
"Action, Biography, Crime",None,7.9,111 min,Bonnie and Clyde,90600,1967,Bonnie and Clyde,Bonnie and Clyde
"Drama, Music, Romance",$39.46M,7.3,112 min,Crazy Heart,77084,2009,Crazy Heart,Crazy Heart
"Drama, Sport",$52.29M,7.0,119 min,The Color of Money,65814,1986,The Color of Money,The Color of Money
"Comedy, Drama",$100.05M,7.0,124 min,Parenthood,39600,1989,Parenthood,Parenthood
"Animation, Adventure, Family",$38.18M,7.1,95 min,Treasure Planet,85965,2002,Treasure Planet,Treasure Planet
"Crime, Drama, Mystery",$45.01M,7.4,118 min,Frequency,91991,2000,Frequency,Frequency
"Biography, Crime, Drama",$11.53M,7.6,118 min,Boys Don't Cry,85068,1999,Boys Don't Cry,Boys Dont Cry
"Action, Adventure, Sci-Fi",$78.91M,7.7,113 min,Star Trek II: The Wrath of Khan,102124,1982,Star Trek II: The Wrath of Khan,Star Trek  The Wrath of Khan
"Crime, Drama, Thriller",$0.01M,7.7,90 min,Dead Man's Shoes,44708,2004,Dead Man's Shoes,Dead Mans Shoes
"Drama, Family, Fantasy",$10.02M,7.7,97 min,A Little Princess,28412,1995,A Little Princess,A Little Princess
Drama,$119.29M,7.7,109 min,On Golden Pond,24484,1981,On Golden Pond,On Golden Pond
"Biography, Crime, Drama",$35.00M,7.6,121 min,Midnight Express,62917,1978,Midnight Express,Midnight Express
"Adventure, Comedy, Drama",$11.90M,7.2,91 min,The Darjeeling Limited,159454,2007,The Darjeeling Limited,The Darjeeling Limited
"Biography, Drama, Sport",$95.00M,7.5,128 min,42,75214,2013,42,42
"Biography, Drama, Thriller",$28.97M,7.9,157 min,The Insider,146212,1999,The Insider,The Insider
"Biography, Drama, History",$56.44M,7.3,103 min,The Queen,95458,2006,The Queen,The Queen
"Animation, Adventure, Comedy",$144.88M,7.2,79 min,101 Dalmatians,131245,1961,101 Dalmatians,101 Dalmatians
"Crime, Drama, Thriller",None,7.5,113 min,Straw Dogs,50628,1971,Straw Dogs,Straw Dogs
"Crime, Drama, Thriller",$13.10M,7.3,100 min,Frailty,69049,2001,Frailty,Frailty
"Animation, Adventure, Comedy",$55.68M,7.1,78 min,The AristoCats,78198,1970,The AristoCats,The AristoCats
"Animation, Adventure, Family",$87.40M,7.3,77 min,Peter Pan,106182,1953,Peter Pan,Peter Pan
"Biography, Drama, Romance",$94.13M,7.0,118 min,Julie &amp; Julia,91949,2009,Julie and Julia,Julie and Julia
"Crime, Romance, Thriller",$3.80M,7.4,108 min,Bound,45648,1996,Bound,Bound
"Crime, Drama, Mystery",$22.49M,7.8,110 min,Lucky Number Slevin,283685,2006,Lucky Number Slevin,Lucky Number Slevin
"Crime, Drama, Thriller",$49.44M,7.1,127 min,Runaway Jury,83694,2003,Runaway Jury,Runaway Jury
"Drama, Thriller",$40.96M,7.1,101 min,The Ides of March,204019,2011,The Ides of March,The Ides of March
"Adventure, Comedy, Drama",$1.29M,7.2,95 min,The Kings of Summer,71308,2013,The Kings of Summer,The Kings of Summer
"Drama, Mystery, Romance",None,8.1,130 min,Rebecca,106451,1940,Rebecca,Rebecca
"Drama, Thriller",None,8.1,83 min,Persona,81673,1966,Persona,Persona
"Action, Crime, Drama",$81.53M,7.1,100 min,Payback,121989,1999,Payback,Payback
"Animation, Comedy, Family",$84.25M,7.5,88 min,Pinocchio,109631,1940,Pinocchio,Pinocchio
"Drama, War",None,8.4,88 min,Paths of Glory,148123,1957,Paths of Glory,Paths of Glory
"Drama, Horror, Thriller",None,7.3,110 min,Don't Look Now,40465,1973,Don't Look Now,Dont Look Now
Drama,$32.07M,7.1,111 min,The Accused,27757,1988,The Accused,The Accused
"Comedy, Drama, Musical",$15.28M,7.6,121 min,Hair,31029,1979,Hair,Hair
"Crime, Drama, Thriller",$9.60M,8.2,108 min,On the Waterfront,123406,1954,On the Waterfront,On the Waterfront
"Drama, Mystery, Thriller",$0.75M,7.0,180 min,Inland Empire,47999,2006,Inland Empire,Inland Empire
"Fantasy, Horror, Mystery",$8.95M,7.2,95 min,In the Mouth of Madness,50865,1994,In the Mouth of Madness,In the Mouth of Madness
"Biography, Crime, Drama",$28.75M,7.4,114 min,Capote,113670,2005,Capote,Capote
"Crime, Drama, Mystery",None,7.3,140 min,Death on the Nile,23797,1978,Death on the Nile,Death on the Nile
"Comedy, Crime",$42.04M,7.3,110 min,Dirty Rotten Scoundrels,56962,1988,Dirty Rotten Scoundrels,Dirty Rotten Scoundrels
"Action, Adventure, Comedy",$101.63M,7.0,127 min,Maverick,92182,1994,Maverick,Maverick
"Crime, Drama, Romance",$62.55M,7.3,112 min,The Crying Game,46095,1992,The Crying Game,The Crying Game
"Drama, Romance",$71.52M,7.6,135 min,The Bridges of Madison County,62865,1995,The Bridges of Madison County,The Bridges of Madison County
Comedy,$6.09M,7.0,94 min,Grandma's Boy,72539,2006,Grandma's Boy,Grandmas Boy
"Adventure, Comedy, Family",$40.90M,7.0,91 min,Pee-wee's Big Adventure,45359,1985,Pee-wee's Big Adventure,Peewees Big Adventure
Drama,$40.31M,7.6,132 min,I Am Sam,133086,2001,I Am Sam,I Am Sam
"Comedy, Crime",$78.04M,7.6,85 min,The Naked Gun: From the Files of Police Squad!,131492,1988,The Naked Gun: From the Files of Police Squad!,The Naked Gun From the Files of Police Squad
"Biography, Drama, Family",$43.85M,7.1,112 min,Soul Surfer,40379,2011,Soul Surfer,Soul Surfer
"Action, Drama, Thriller",$9.45M,8.0,85 min,High Noon,87962,1952,High Noon,High Noon
"Animation, Adventure, Comedy",$183.14M,7.3,87 min,The Simpsons Movie,283827,2007,The Simpsons Movie,The Simpsons Movie
Drama,$17.57M,8.1,108 min,Cat on a Hot Tin Roof,38835,1958,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof
"Drama, Romance",$10.01M,7.4,171 min,The Unbearable Lightness of Being,30405,1988,The Unbearable Lightness of Being,The Unbearable Lightness of Being
"Biography, Comedy, Drama",$15.79M,7.4,106 min,Eddie the Eagle,70255,2016,Eddie the Eagle,Eddie the Eagle
"Animation, Adventure, Family",None,7.4,75 min,Alice in Wonderland,111219,1951,Alice in Wonderland,Alice in Wonderland
"Drama, Mystery",$33.42M,7.5,104 min,Doubt,110663,2008,Doubt,Doubt
Horror,None,7.3,107 min,The Changeling,25141,1980,The Changeling,The Changeling
"Comedy, Drama, Music",$3.23M,8.0,106 min,Sing Street,69593,2016,Sing Street,Sing Street
"Action, Crime, Drama",$22.00M,7.0,93 min,Death Wish,30451,1974,Death Wish,Death Wish
"Crime, Drama",$0.33M,7.7,101 min,This Is England,107705,2006,This Is England,This Is England
Drama,$2.85M,7.8,141 min,The Great Beauty,68978,2013,The Great Beauty,The Great Beauty
"Crime, Drama",$7.72M,7.6,124 min,"The Cook, the Thief, His Wife &amp; Her Lover",30593,1989,"The Cook, the Thief, His Wife and Her Lover",The Cook the Thief His Wife and Her Lover
Drama,$0.07M,7.7,98 min,Detachment,67044,2011,Detachment,Detachment
"Drama, Horror, Thriller",$1.73M,7.4,120 min,Take Shelter,80570,2011,Take Shelter,Take Shelter
"Drama, Horror, Sci-Fi",$12.00M,7.9,70 min,Frankenstein,56177,1931,Frankenstein,Frankenstein
"Comedy, Romance",$166.24M,7.0,108 min,Meet the Parents,286254,2000,Meet the Parents,Meet the Parents
"Comedy, Drama",$5.66M,7.3,119 min,20th Century Women,28978,2016,20th Century Women,20th Century Women
"Crime, Drama, Thriller",$45.86M,7.1,135 min,The Rainmaker,53102,1997,The Rainmaker,The Rainmaker
"Drama, Fantasy, Romance",$3.21M,8.1,128 min,Wings of Desire,54895,1987,Wings of Desire,Wings of Desire
"Biography, Crime, Drama",$43.00M,7.6,112 min,Escape from Alcatraz,100325,1979,Escape from Alcatraz,Escape from Alcatraz
"Action, Adventure, Comedy",$60.65M,7.1,114 min,Three Kings,149711,1999,Three Kings,Three Kings
Comedy,$66.76M,7.0,100 min,Uncle Buck,72764,1989,Uncle Buck,Uncle Buck
"Drama, Music",$9.40M,7.0,116 min,Black Snake Moan,57189,2006,Black Snake Moan,Black Snake Moan
"Comedy, Drama",$3.08M,7.5,124 min,"Synecdoche, New York",68562,2008,"Synecdoche, New York",Synecdoche New York
"Crime, Drama, Mystery",None,8.0,80 min,Rope,111059,1948,Rope,Rope
"Action, Crime, Mystery",$42.30M,7.5,114 min,Bullitt,53110,1968,Bullitt,Bullitt
"Mystery, Thriller",$4.50M,7.4,99 min,Suspicion,27767,1941,Suspicion,Suspicion
"Animation, Horror, Mystery",$0.43M,7.9,81 min,Perfect Blue,39711,1997,Perfect Blue,Perfect Blue
"Crime, Drama, Musical",$4.18M,8.0,140 min,Dancer in the Dark,90096,2000,Dancer in the Dark,Dancer in the Dark
"Drama, Western",None,8.1,123 min,The Man Who Shot Liberty Valance,60560,1962,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance
"Adventure, Drama, War",$44.91M,8.2,161 min,The Bridge on the River Kwai,179115,1957,The Bridge on the River Kwai,The Bridge on the River Kwai
"Animation, Crime, Drama",$5.50M,7.1,100 min,A Scanner Darkly,97895,2006,A Scanner Darkly,A Scanner Darkly
"Adventure, Comedy, Fantasy",$42.37M,7.0,110 min,Time Bandits,51642,1981,Time Bandits,Time Bandits
"Comedy, Drama",$4.51M,7.3,96 min,Swingers,69284,1996,Swingers,Swingers
"Drama, Western",$35.00M,7.7,201 min,Giant,30162,1956,Giant,Giant
"Drama, Thriller, War",$4.40M,7.8,145 min,Black Book,66574,2006,Black Book,Black Book
"Crime, Drama",$39.39M,7.5,122 min,Dead Man Walking,80598,1995,Dead Man Walking,Dead Man Walking
"Biography, Drama, History",$11.00M,7.3,105 min,The Young Victoria,52175,2009,The Young Victoria,The Young Victoria
"Action, Crime, Drama",$25.19M,7.0,124 min,Fallen,66298,1998,Fallen,Fallen
"Drama, Sport",None,8.0,134 min,The Hustler,68945,1961,The Hustler,The Hustler
"Comedy, Drama, Romance",$70.17M,7.0,103 min,Grumpy Old Men,38782,1993,Grumpy Old Men,Grumpy Old Men
"Action, Crime, Drama",$17.31M,7.3,116 min,To Live and Die in L.A.,24913,1985,To Live and Die in L.A.,To Live and Die in LA
"Biography, Crime, Drama",$36.61M,7.5,123 min,Freedom Writers,60012,2007,Freedom Writers,Freedom Writers
"Drama, War",$21.49M,7.6,131 min,The Book Thief,115407,2013,The Book Thief,The Book Thief
"Comedy, Fantasy, Horror",$16.76M,7.1,110 min,The Frighteners,74549,1996,The Frighteners,The Frighteners
"Animation, Adventure, Comedy",$18.53M,7.1,117 min,Bedknobs and Broomsticks,29764,1971,Bedknobs and Broomsticks,Bedknobs and Broomsticks
"Comedy, Drama, Romance",$0.08M,7.3,97 min,Stuck in Love,76899,2012,Stuck in Love,Stuck in Love
"Comedy, Drama",$2.55M,7.2,80 min,Carnage,108303,2011,Carnage,Carnage
"Animation, Family, Fantasy",$51.60M,7.3,75 min,Sleeping Beauty,117021,1959,Sleeping Beauty,Sleeping Beauty
"Drama, Romance",$22.95M,7.9,134 min,The Remains of the Day,54179,1993,The Remains of the Day,The Remains of the Day
"Comedy, Crime, Drama",$17.47M,7.2,103 min,Dope,74377,2015,Dope,Dope
"Adventure, Horror, Sci-Fi",$10.00M,7.9,100 min,King Kong,71745,1933,King Kong,King Kong
"Drama, Mystery, Thriller",None,7.6,111 min,Blow-Up,48702,1966,Blow-Up,BlowUp
"Crime, Drama, Mystery",$10.73M,7.8,100 min,Glengarry Glen Ross,86352,1992,Glengarry Glen Ross,Glengarry Glen Ross
"Comedy, Music",$0.11M,7.7,88 min,The Producers,45018,1967,The Producers,The Producers
"Action, Comedy, Crime",$28.01M,7.4,107 min,Grosse Pointe Blank,80350,1997,Grosse Pointe Blank,Grosse Pointe Blank
"Biography, Drama, Music",$4.02M,7.0,135 min,I'm Not There.,52609,2007,I'm Not There.,Im Not There
"Action, Crime, Drama",$3.37M,7.0,94 min,Near Dark,28899,1987,Near Dark,Near Dark
"Crime, Drama, Music",$22.20M,7.4,116 min,Hustle &amp; Flow,36039,2005,Hustle and Flow,Hustle and Flow
"Action, Comedy",$32.77M,7.2,98 min,Team America: World Police,147535,2004,Team America: World Police,Team America World Police
"Biography, Drama, Sport",$57.79M,7.1,105 min,Invincible,58712,2006,Invincible,Invincible
Drama,$0.26M,7.9,100 min,"I, Daniel Blake",40084,2016,"I, Daniel Blake",I Daniel Blake
"Fantasy, Horror",None,7.6,75 min,Dracula,39278,1931,Dracula,Dracula
"Comedy, Drama, Romance",$46.41M,7.3,124 min,The Best Exotic Marigold Hotel,83426,2011,The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel
Drama,$29.13M,8.1,118 min,The Last Picture Show,36242,1971,The Last Picture Show,The Last Picture Show
"Comedy, Sport",$49.80M,7.2,107 min,Major League,54603,1989,Major League,Major League
"Biography, Comedy, Drama",$9.49M,7.6,143 min,Chaplin,48205,1992,Chaplin,Chaplin
"Crime, Drama",$0.31M,8.1,98 min,La Haine,126791,1995,La Haine,La Haine
"Animation, Action, Adventure",$196.57M,7.0,94 min,Ice Age: Dawn of the Dinosaurs,193698,2009,Ice Age: Dawn of the Dinosaurs,Ice Age Dawn of the Dinosaurs
"Comedy, Drama, Romance",$22.55M,7.4,111 min,Much Ado About Nothing,40989,1993,Much Ado About Nothing,Much Ado About Nothing
